,feature,importance_gain,importance_split,trn_score,run
47,ELEVATORS_AVG,1243.3884809017181,109,0.6639043005943865,4
48,ENTRANCES_AVG,2229.289729118347,212,0.6639043005943865,4
49,FLOORSMAX_AVG,1327.2397978305817,115,0.6639043005943865,4
50,FLOORSMIN_AVG,1670.6915565729141,148,0.6639043005943865,4
51,LANDAREA_AVG,3577.2653966248035,323,0.6639043005943865,4
52,LIVINGAPARTMENTS_AVG,1980.8717715144157,184,0.6639043005943865,4
53,LIVINGAREA_AVG,2743.5036895871162,247,0.6639043005943865,4
54,NONLIVINGAPARTMENTS_AVG,1309.1042167544365,132,0.6639043005943865,4
55,NONLIVINGAREA_AVG,2292.8950247764587,216,0.6639043005943865,4
56,APARTMENTS_MODE,3137.0557180047035,280,0.6639043005943865,4
57,BASEMENTAREA_MODE,2260.462959766388,195,0.6639043005943865,4
58,YEARS_BEGINEXPLUATATION_MODE,2366.2838680148125,213,0.6639043005943865,4
59,YEARS_BUILD_MODE,1783.795012831688,170,0.6639043005943865,4
60,COMMONAREA_MODE,2503.8729730844498,239,0.6639043005943865,4
61,ELEVATORS_MODE,593.661458492279,61,0.6639043005943865,4
62,ENTRANCES_MODE,1355.0802853107452,124,0.6639043005943865,4
63,FLOORSMAX_MODE,847.4463064670563,77,0.6639043005943865,4
64,FLOORSMIN_MODE,783.1976325511932,74,0.6639043005943865,4
65,LANDAREA_MODE,3014.784244596958,294,0.6639043005943865,4
66,LIVINGAPARTMENTS_MODE,2832.4545235037804,246,0.6639043005943865,4
67,LIVINGAREA_MODE,2435.054508447647,224,0.6639043005943865,4
68,NONLIVINGAPARTMENTS_MODE,780.0760453343391,78,0.6639043005943865,4
69,NONLIVINGAREA_MODE,1776.7973572015762,178,0.6639043005943865,4
70,APARTMENTS_MEDI,1683.8858493566513,150,0.6639043005943865,4
71,BASEMENTAREA_MEDI,1762.4325714111328,164,0.6639043005943865,4
72,YEARS_BEGINEXPLUATATION_MEDI,1770.6967272758484,169,0.6639043005943865,4
73,YEARS_BUILD_MEDI,790.3073709011078,74,0.6639043005943865,4
74,COMMONAREA_MEDI,1960.4566209316254,180,0.6639043005943865,4
75,ELEVATORS_MEDI,414.7955012321472,40,0.6639043005943865,4
76,ENTRANCES_MEDI,677.2256271839142,57,0.6639043005943865,4
77,FLOORSMAX_MEDI,390.22996068000793,38,0.6639043005943865,4
78,FLOORSMIN_MEDI,464.96912002563477,45,0.6639043005943865,4
79,LANDAREA_MEDI,1823.3437852859497,163,0.6639043005943865,4
80,LIVINGAPARTMENTS_MEDI,1596.4312946796417,143,0.6639043005943865,4
81,LIVINGAREA_MEDI,1740.2390117645264,165,0.6639043005943865,4
82,NONLIVINGAPARTMENTS_MEDI,708.2576713562012,72,0.6639043005943865,4
83,NONLIVINGAREA_MEDI,2016.3700067996979,190,0.6639043005943865,4
84,FONDKAPREMONT_MODE,69.46883010864258,7,0.6639043005943865,4
85,HOUSETYPE_MODE,170.4354317188263,17,0.6639043005943865,4
86,TOTALAREA_MODE,3736.598917543888,323,0.6639043005943865,4
87,WALLSMATERIAL_MODE,235.54854011535645,25,0.6639043005943865,4
88,EMERGENCYSTATE_MODE,71.7852714061737,10,0.6639043005943865,4
89,OBS_30_CNT_SOCIAL_CIRCLE,1384.041822195053,142,0.6639043005943865,4
90,DEF_30_CNT_SOCIAL_CIRCLE,463.7717075943947,47,0.6639043005943865,4
91,OBS_60_CNT_SOCIAL_CIRCLE,1104.148939549923,121,0.6639043005943865,4
92,DEF_60_CNT_SOCIAL_CIRCLE,278.2736704349518,33,0.6639043005943865,4
93,DAYS_LAST_PHONE_CHANGE,5995.905351698399,584,0.6639043005943865,4
94,FLAG_DOCUMENT_2,0.0,0,0.6639043005943865,4
95,FLAG_DOCUMENT_3,281.85274106264114,28,0.6639043005943865,4
96,FLAG_DOCUMENT_4,0.0,0,0.6639043005943865,4
97,FLAG_DOCUMENT_5,25.79667043685913,3,0.6639043005943865,4
98,FLAG_DOCUMENT_6,106.37116050720215,11,0.6639043005943865,4
99,FLAG_DOCUMENT_7,16.540669918060303,2,0.6639043005943865,4
100,FLAG_DOCUMENT_8,206.09002089500427,24,0.6639043005943865,4
101,FLAG_DOCUMENT_9,9.83882999420166,1,0.6639043005943865,4
102,FLAG_DOCUMENT_10,0.0,0,0.6639043005943865,4
103,FLAG_DOCUMENT_11,55.39775085449219,5,0.6639043005943865,4
104,FLAG_DOCUMENT_12,0.0,0,0.6639043005943865,4
